IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_114,PKA_260_ENG,PKA_260_EXP,MUT_RPS6KB2,MUT_RPS6KB2_EXP,PWY_R_HSA_1643685_CSV,PWY_R_HSA_170834_EXP,GO_0030325,GO_0061024,SFAM_DYRK1_EXP,SFAM_FJ_EXP,SFAM_NuaK,CLS_Histology_subtype_1_mixed_carcinoma,EXP_SBK2,EXP_ACVR2B,EXP_SBK1,EXP_STK10,EXP_MYO3B,EXP_STK19,PKA_137_CSV_X_Fingerprint_576,PKA_137_EXP_X_Fingerprint_576,PKA_137_X_Fingerprint_576,PKA_251_ENG_X_Fingerprint_644,PKA_251_POL_X_Fingerprint_644,PKA_260_EXP_X_Fingerprint_611,PKA_85_EXP_X_Fingerprint_611,PKA_93_EXP_X_Fingerprint_644,PKA_93_X_Fingerprint_644,EXP_CSNK1E_X_EXP_CEP135,EXP_CSNK1E_X_EXP_UTP3,EXP_FGFR2_X_EXP_EPN3,EXP_FGFR2_X_EXP_NCAM1,EXP_MAP2K2_X_EXP_HRAS,EXP_MAP2K2_X_EXP_YWHAH,EXP_MAPK8_X_EXP_ATF3,EXP_MAPK8_X_EXP_CRK,EXP_MAPK8_X_EXP_GNA15,EXP_MAPK8_X_EXP_HSP90AA1,EXP_MAPK8_X_EXP_TNFRSF1A,EXP_MAPKAPK3_X_EXP_TNRC6C,EXP_STRADB_X_EXP_PRKAB1,EXP_SYK_X_EXP_SNCA,EXP_SYK_X_EXP_TLR4,REC_R_HSA_3228469_EXP_X_REC_R_HSA_6802934_EXP,REC_R_HSA_3228469_X_REC_R_HSA_6802932,GO_0003007_X_GO_0007268,GO_0010629_X_GO_0048015,GO_0036289_EXP_X_GO_0060999_EXP,Predicted IC50,Validation
1.434035,905959,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5536610171,4.0620910851,3.5693391534,4.4666638184,2.948374485,3.1097863985,0,0,0,0,0,0,0,0,0,36.316931634,63.56470383,10.527255123,10.886398883,63.830990495,75.34835464,18.205995767,30.431226965,14.215332011,40.465015768,29.875239762,25.816329649,20.760402844,17.881405272,14.664554073,0,0,0,0,0,2.1022313182,5
4.365725,1240198,1042,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8752965222,0,0,3.4100116681,4.8097548111,4.5213325197,3.4542267842,2.8722874692,2.7747628878,0,0,0,0,0,0,0,0,0,32.500319667,58.45235757,14.877111337,13.851661192,41.943867915,69.617671963,16.252172526,28.765009519,13.68767025,42.597495915,20.016837708,24.308936814,21.597117942,18.992020804,16.481953622,0,0,0,0,0,4.2451146731,10
2.933062,909255,1030,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.837676,0,0,0,0,0,0,0,3.3129546136,6.9509191235,5.4712266825,4.368917224,2.8784191605,2.6560329634,0,0,0,0,0,0,0,0,0,41.287302194,74.609952758,12.910505264,12.777033074,67.421001986,91.457337647,15.839725262,31.811609138,15.029311573,37.507171019,19.749833885,27.393544077,23.216505743,10.643412689,9.0483698419,0,0,0,0,0,3.4385399979,6
1.263251,905959,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5536610171,4.0620910851,3.5693391534,4.4666638184,2.948374485,3.1097863985,0,0,0,0,0,0,0,0,0,36.316931634,63.56470383,10.527255123,10.886398883,63.830990495,75.34835464,18.205995767,30.431226965,14.215332011,40.465015768,29.875239762,25.816329649,20.760402844,17.881405272,14.664554073,0,0,0,0,0,2.6904271707,5
3.310748,909255,199,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.837676,0,0,0,0,0,0,0,3.3129546136,6.9509191235,5.4712266825,4.368917224,2.8784191605,2.6560329634,0.797912,7.4366576417,1,0,0,0,0,0,0,41.287302194,74.609952758,12.910505264,12.777033074,67.421001986,91.457337647,15.839725262,31.811609138,15.029311573,37.507171019,19.749833885,27.393544077,23.216505743,10.643412689,9.0483698419,0,0,0,0,0,2.3175782013,5
5.776131,1480364,1039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.3235198815,4.2247869132,5.7699520212,3.4614934092,2.835256713,3.173432373,0,0,0,0,0,0,0,0,0,33.653552185,55.763794702,18.337630031,13.053424639,44.864167174,61.662564378,13.367334082,27.706814038,14.632358504,34.805527702,20.924553968,20.09006142,16.714355405,33.316452792,23.44795866,0,0,0,1,0,5.6469647286,6
1.677023,1240198,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.8752965222,0,0,3.4100116681,4.8097548111,4.5213325197,3.4542267842,2.8722874692,2.7747628878,0,0,0,0,0,0,0,0,0,32.500319667,58.45235757,14.877111337,13.851661192,41.943867915,69.617671963,16.252172526,28.765009519,13.68767025,42.597495915,20.016837708,24.308936814,21.597117942,18.992020804,16.481953622,0,0,0,0,0,2.5021828538,9
1.277425,906852,331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.421447,0,0,0,0,0,0,0,3.3876790599,3.8681552992,5.9578128237,5.2496082754,2.7380013902,2.7166409539,0,0,0,0,0,0,0,0,0,39.100227458,62.275915198,11.131727834,11.228741906,68.5834949,79.502857744,13.427176948,30.901598569,19.347426062,40.313038926,23.063913496,25.904008715,25.513378525,12.375184833,12.169201838,0,0,0,0,0,0.9893218962,9
2.99438,909257,1015,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.133484,3.3996797735,0,0,0,4.2759125266,0,0,3.6442235877,4.7384835651,5.0233846971,4.333591723,2.866664262,2.7617218535,0,0,0,0,0,0,0,0,0,38.498717063,65.911753054,13.198824896,13.417873173,46.208017615,69.005615229,16.376386404,31.684628676,13.177787221,45.362438605,22.339601946,27.117576767,20.555214972,11.725012236,10.136972142,0,0,0,0,0,1.7803788765,1
2.183314,909699,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4634369571,0,0,4.0245507019,4.7294591102,4.9914223519,3.6707155881,2.8903034007,3.0463296161,0,0,0,0,0,0,0,0,0,29.756017949,64.060377609,13.259083497,13.573163989,49.179323484,72.734472057,17.107489967,28.275372905,15.753702232,48.978007051,24.965047538,23.335915947,24.480506542,22.875186179,19.220868616,0,0,0,0,0,1.8384591469,1
5.09753,905933,298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-3.861,6.5545862821,0,0,0,0,0,0,4.0550872099,0,0,0,3.2581508771,4.3425414385,5.7679167725,3.5922414072,3.1513899199,3.1755934124,0,0,0,0,0,0,0,0,0,29.33881711,56.057876423,16.86998396,17.701008291,44.330248574,64.796202595,14.572909962,32.156385222,14.966376467,49.481181446,22.612764884,22.314591415,14.053581039,28.412466608,21.608209505,0,0,0,0,0,5.2256143348,8
3.86832,924186,1143,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.8876504926,2.5640997749,0,0,0,0,0,0,0,0,0,39.481129847,64.864062518,9.6336058683,11.749199939,55.735329281,75.675143533,16.93644073,42.117697825,17.948547405,55.990240354,33.50632258,23.450478127,22.678765651,14.086300784,10.506280606,0,0,0,0,0,4.5295963433,1
3.48996,1480372,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2954766953,4.3574387278,4.5832952234,4.3429367682,2.9690521424,2.7106163821,0,0,0,0,0,0,0,0,0,40.059776591,51.285009684,15.161552209,13.935436899,49.287036428,70.740368611,14.571385351,32.683862497,15.038892026,44.074886824,25.936226412,28.67031482,13.97623553,17.207321666,15.169370678,0,0,0,0,0,3.5056363465,3
4.800069,924186,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.8876504926,2.5640997749,0,0,0,0,0,0,0,0,0,39.481129847,64.864062518,9.6336058683,11.749199939,55.735329281,75.675143533,16.93644073,42.117697825,17.948547405,55.990240354,33.50632258,23.450478127,22.678765651,14.086300784,10.506280606,0,0,0,0,0,4.3255575162,4
5.9187,924186,193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.8876504926,2.5640997749,0,0,0,0,0,0,0,0,0,39.481129847,64.864062518,9.6336058683,11.749199939,55.735329281,75.675143533,16.93644073,42.117697825,17.948547405,55.990240354,33.50632258,23.450478127,22.678765651,14.086300784,10.506280606,0,0,0,0,0,4.8019818727,7
3.979015,1240129,1194,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.269766208,4.689438485,5.3455995532,3.8417561983,2.7917201621,3.0797592705,0,0,0,0,0,0,0,0,0,30.286610388,59.569874195,11.625468382,14.187067379,48.147292733,73.859787522,13.215609086,27.224896019,12.523995298,35.162909858,21.502378422,26.389612587,19.605547565,14.274393246,9.3976487598,0,0,0,0,10.058156038,4.8065378508,10
0.580406,905969,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.834993,6.585708637,0,0,0,0,0,0,3.333628637,4.5371134834,4.7581645028,4.8905624226,2.7986059726,2.5870349309,0,0,0,0,0,0,0,0,0,34.812926765,57.721494437,11.5710735,11.092541822,55.447959676,75.223082284,13.180262217,28.661107326,14.945345091,41.535583174,21.591364546,26.252240055,26.954683479,12.957015109,13.14439252,0,0,0,0,0,2.3259051844,1
-3.888964,909753,283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.779334,0,0,0,0,0,0,0,3.3646310445,4.3344311893,5.3817489277,3.5801617418,2.9046160517,3.029959901,0,0,0,0,0,0,0,0,0,30.802673611,63.327245816,9.9681124709,10.647625573,53.296184887,74.426208021,18.115256716,40.225925748,15.907613342,44.578687395,21.598566144,27.473178586,21.316831921,19.991480194,17.318464183,0,0,0,0,0,-3.385088128,4
-1.977199,1240197,283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.795126,0,0,0,0,0,0,0,3.6047826025,4.2447828638,5.9293195283,3.734959908,2.8142892589,2.5020686576,0,0,0,0,0,0,0,0,0,37.234156669,50.269494567,14.030652704,14.013794627,40.525485688,68.595919961,14.987895228,35.368802644,15.998349995,45.137146836,23.53809934,19.336264624,18.94656315,12.316063764,11.067515469,0,0,0,0,0,-2.69967912,2
6.735001,946360,176,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3490655007,4.3390750206,7.2363040555,3.3296322306,3.2498667392,3.0020830316,0,0,0,0,0,0,0,0,0,33.075902271,46.097899105,16.664826031,14.849978938,47.908212114,69.756659307,14.153322007,39.714389774,13.716113651,44.959916214,21.713459998,25.09854098,16.603980623,24.69808202,18.136930219,0,0,0,0,0,5.57901934,8
-0.173703978,1240198,1032,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.8752965222,0,0,3.4100116681,4.8097548111,4.5213325197,3.4542267842,2.8722874692,2.7747628878,0,0,0,0,0,0,0,0,0,32.500319667,58.45235757,14.877111337,13.851661192,41.943867915,69.617671963,16.252172526,28.765009519,13.68767025,42.597495915,20.016837708,24.308936814,21.597117942,18.992020804,16.481953622,0,0,0,0,0,0.1653191608,9
