IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,PWY_R_HSA_2187338,PWY_R_HSA_2187338_EXP,GO_0032212_EXP,CLS_tumour_source_NS,CLS_NCI_code_C9384,EXP_EGFR_X_EXP_CTGF,EXP_EGFR_X_EXP_LPAR1,EXP_EGFR_X_EXP_PIK3CA,EXP_EIF2AK3_X_EXP_PIK3CA,EXP_FLT1_X_EXP_FGF4,EXP_FLT1_X_EXP_GPC1,EXP_FLT1_X_EXP_VEGFD,EXP_ICK_X_EXP_C1orf56,EXP_MAP4K5_X_EXP_TRADD,EXP_SGK1_X_EXP_EP300,EXP_SGK1_X_EXP_RPTOR,EXP_SRMS_X_EXP_LRGUK,EXP_TGFBR1_X_EXP_BMP7,EXP_TGFBR1_X_EXP_CAV1,EXP_TRIO_X_EXP_RAC3,EXP_YES1_X_EXP_NRG2,PWY_R_HSA_212436_EXP_X_PWY_R_HSA_983712_EXP,GO_0006281_X_GO_0043068,Predicted IC50,Validation
2.984642,1524414,1028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.418770726,31.312756403,45.8759007,37.411654443,9.1318335868,16.021274,10.129512013,14.716192758,46.60341031,32.370177992,20.192679738,9.9789367728,11.64988037,45.834761759,42.863487184,22.42443346,0,0,2.4430742135,7
-3.603747,909250,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.213536033,28.269180876,36.480663998,43.435655197,8.1990062399,14.994166862,9.1336898292,15.966024949,45.327081155,42.234555537,19.801342155,9.0019661676,11.273655639,41.960025809,38.402564468,22.508981329,0,0,-2.924048287,10
5.183685,1298169,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,46.795761522,32.586175416,36.223319882,40.651605491,8.5024497004,20.830343857,12.124327519,18.375306648,35.579212793,44.287528173,22.403465531,10.436374882,11.051596243,41.218864563,48.437587861,18.320648217,25.703594287,0,4.569867065,3
4.372434,905979,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,41.948711669,27.914656561,33.8662887,35.853186732,8.2853453342,21.058409391,10.026647523,19.889617126,41.737856007,50.244290756,30.018433897,10.001899945,10.976104015,39.3857974,57.331554528,23.938992321,41.875426629,0,3.8554538834,1
2.125831,909974,106,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,63.19443974,37.172786154,44.744246596,42.305288092,8.7606013333,19.597666248,9.785302431,17.189824196,43.175300702,52.888579748,27.508773763,11.696108349,13.58576417,49.620288578,47.223392261,20.38644071,0,0,3.2815379237,6
-0.156173,909250,155,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,27.213536033,28.269180876,36.480663998,43.435655197,8.1990062399,14.994166862,9.1336898292,15.966024949,45.327081155,42.234555537,19.801342155,9.0019661676,11.273655639,41.960025809,38.402564468,22.508981329,0,0,-0.008231181,3
3.395185,909250,277,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,27.213536033,28.269180876,36.480663998,43.435655197,8.1990062399,14.994166862,9.1336898292,15.966024949,45.327081155,42.234555537,19.801342155,9.0019661676,11.273655639,41.960025809,38.402564468,22.508981329,0,0,2.3380171647,8
1.437094,905978,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,0.9363295845,9
5.363695,910952,298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40.910546146,25.58674391,40.036184801,50.670243007,8.7445677782,16.269800882,9.0751677515,16.505457069,44.997011706,34.860793914,19.419350255,10.230297244,11.859228181,40.309002167,48.949101803,22.9538967,0,0,5.251663155,5
4.243531,905978,1030,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,46.5648385,28.450828401,32.109323102,37.613928056,8.0011809763,14.541122603,8.910284793,14.957154927,36.901078681,42.896116819,21.070747195,8.9924187106,11.056777778,42.152987929,34.319466397,24.089245105,0,0,3.1829995456,2
5.847961,905979,279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41.948711669,27.914656561,33.8662887,35.853186732,8.2853453342,21.058409391,10.026647523,19.889617126,41.737856007,50.244290756,30.018433897,10.001899945,10.976104015,39.3857974,57.331554528,23.938992321,41.875426629,0,5.6185281237,1
4.229928,910698,260,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,46.139903198,27.55848957,34.179956577,41.94323285,8.7408143206,19.199963862,10.895207926,18.388845119,33.110345472,37.012350629,22.256860292,10.712541325,14.924391473,52.82467811,35.760318507,21.556947027,0,0,3.7817105695,3
0.922507,909730,159,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9.4032518559,16.65420112,20.327176097,31.754058311,8.0282910182,12.544588841,9.396758002,17.130337085,31.712024415,34.229118389,17.381255349,9.5084793739,10.502920687,39.908912724,41.091489085,23.408489969,0,0,1.3925337938,10
3.036489,905948,1021,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,58.560360675,29.592524579,37.23127105,43.288022848,8.1573846716,21.462298759,10.392422187,18.338842368,42.559717562,33.709636537,22.599068732,11.307576203,12.655781679,46.068687804,51.593407945,20.213658125,0,0,2.8152552998,2
4.001378,909974,1053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,63.19443974,37.172786154,44.744246596,42.305288092,8.7606013333,19.597666248,9.785302431,17.189824196,43.175300702,52.888579748,27.508773763,11.696108349,13.58576417,49.620288578,47.223392261,20.38644071,0,0,3.4714994254,10
-1.463472,905980,86,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24.031962577,33.634804536,31.372908933,30.949874485,8.0654240099,12.320755054,8.4585910641,18.393329392,37.177814095,33.136266741,20.230405892,8.2763608946,11.678958849,44.938032933,39.175287153,23.898572713,0,0,-1.748849429,1
3.171972,905950,1028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3.5056671019,0,0,0,37.494454834,23.499136549,32.876479888,44.156294819,7.8474063857,14.955356621,9.1728253135,17.078820577,43.254125882,43.016719223,25.13113193,9.2670507994,9.7180940945,38.500949489,41.675413936,23.871537278,0,0,2.4067857265,8
2.039506,905947,260,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5.0797408842,0,0,37.253327817,28.650325315,30.923000583,25.710881579,7.7134237988,18.587271614,7.7728611303,15.481067203,33.132635014,27.956452195,16.537715788,9.3714724475,10.432184761,36.421067563,48.92367853,22.564900187,0,1,1.3161568474,2
2.43875,1298169,256,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,46.795761522,32.586175416,36.223319882,40.651605491,8.5024497004,20.830343857,12.124327519,18.375306648,35.579212793,44.287528173,22.403465531,10.436374882,11.051596243,41.218864563,48.437587861,18.320648217,25.703594287,0,2.0303200488,5
-1.012352,905963,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.923792789,25.150823293,30.562885334,37.139976082,8.1833401859,13.878485507,9.4310013054,16.840350672,44.068738888,38.190680494,22.461329609,9.0729472449,9.935768594,39.216263118,48.21769919,25.656235856,0,0,0.0737772863,7
3.312159,753558,257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,35.910788323,22.824643674,35.32335231,34.324474889,8.3946496695,18.243474806,10.044527309,14.830475746,39.640818012,26.388549516,17.314486779,10.027880666,9.5947131738,35.623545529,53.22196352,23.679037128,0,0,1.7522790308,3
2.044357,753558,1019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35.910788323,22.824643674,35.32335231,34.324474889,8.3946496695,18.243474806,10.044527309,14.830475746,39.640818012,26.388549516,17.314486779,10.027880666,9.5947131738,35.623545529,53.22196352,23.679037128,0,0,1.9531303652,10
3.261583,1298168,1219,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,50.656622226,34.575410175,38.974653694,47.803868685,8.1458409202,18.599600715,8.0536408191,18.271635976,42.256328718,52.602081047,28.379188919,9.5508547823,11.55601397,42.772968287,45.581449674,21.299544291,18.446584188,0,2.3563501302,7
