IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,MOT_2D_beta2strand,REC_R_HSA_5672972,REC_R_HSA_5672972_EXP,PWY_R_HSA_194138_CSV,PWY_R_HSA_416482,PWY_R_HSA_416482_EXP,PWY_R_HSA_5663202_CSV,GO_0006357,GO_0018105_CSV,GO_0035556_CSV,GO_0090002,GO_2000145_EXP,EXP_BRDT,PKA_270_CSV_X_Fingerprint_776,PKA_54_HYD_X_Fingerprint_685,PKA_54_HYD_X_Fingerprint_776,PKA_54_POL_X_Fingerprint_776,EXP_CDK13_X_EXP_UBXN7,EXP_CDK15_X_EXP_CCNA1,EXP_NTRK3_X_EXP_SHC3,EXP_PLK2_X_EXP_CCNF,EXP_PRKACA_X_EXP_HAUS2,EXP_PRKACG_X_EXP_CACNA2D4,EXP_PRKACG_X_EXP_OR2M4,EXP_PRKG1_X_EXP_LIPE,EXP_PRKG1_X_EXP_PRKAR1B,EXP_RIOK1_X_EXP_UTP3,EXP_RIOK1_X_EXP_WDR36,PWY_R_HSA_1430728_X_PWY_R_HSA_168898,PWY_R_HSA_162582_CSV_X_PWY_R_HSA_1643685_CSV,PWY_R_HSA_168898_EXP_X_PWY_R_HSA_76002_EXP,PWY_R_HSA_2672351_X_PWY_R_HSA_74751,GO_0035556_EXP_X_GO_0043507_EXP,Predicted IC50,Validation
2.016506,909977,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,4.5849698064,0,0,0,0,0,0,0,0,0,3.0721112736,0,0,0,0,20.437683333,10.711056908,12.76784225,30.397930836,21.91465757,10.751389382,10.602063154,14.44980512,15.710551673,51.093235665,42.895302048,0,0,71.328365737,0,0,2.9448004685,4
5.822992,909776,291,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.695469,0,0,2.7347708294,0,0,0,0,22.345868805,10.158999337,10.240556941,48.4562224,21.602636521,14.171106839,10.957770088,10.708224261,11.95300844,53.678525463,46.901006647,1,0,71.616084463,1,134.16309233,5.6760837328,9
4.614585,907072,1043,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783763,0,0,0,2.9821391631,0,0,0,0,22.726033956,11.087668609,9.5981689121,35.934903777,21.331607063,10.156656363,10.345919329,11.135085987,12.476613591,55.270825494,54.332892909,0,0,0,0,0,3.8939836149,10
3.582834,909776,281,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.695469,0,0,2.7347708294,0,0,0,0,22.345868805,10.158999337,10.240556941,48.4562224,21.602636521,14.171106839,10.957770088,10.708224261,11.95300844,53.678525463,46.901006647,1,0,71.616084463,1,134.16309233,3.9915351452,7
-0.854259,1290768,1242,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.799674,0,0,0,0,0,3.1382006779,0,0,0,0,23.835419265,11.045112677,10.331341449,27.801908183,19.993996052,10.398773094,10.340900295,10.720440822,11.472665716,50.594730256,52.119412441,0,0.6394785063,0,0,0,0.5631313842,4
-2.267448,949164,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,9.9889916176,10.372834112,12.098228524,66.442457496,61.087107443,0,0,0,0,0,-0.998687099,7
1.830562,684072,1028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.719164,0.719164,0,0,2.8120230414,0,0,0,0,34.349183998,14.847303626,9.0052370897,18.209939189,20.110892585,9.9214544172,10.194452653,10.188591636,12.294260547,65.874090874,58.81610126,0,0,0,0,0,2.805762473,9
4.067026,949164,199,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,9.9889916176,10.372834112,12.098228524,66.442457496,61.087107443,0,0,0,0,0,3.3569587386,8
2.614215,949158,295,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.637623,1,3.2168039355,0,0,0.637623,0.637623,0,0,2.6452927445,0,-1.49,-1.49,-0.7,33.290778295,11.031798427,10.316697911,18.494065799,18.289654474,9.3885265006,9.3472624689,11.075526313,13.764864589,74.354625651,64.056241017,0,0,0,0,0,2.4024669988,7
-1.846452,907290,308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.808822,0.808822,0,0,3.0519680987,0,0,0,0,26.540855409,11.097131508,10.184566407,36.629645354,21.789258991,10.804519206,11.185040684,9.3369333412,11.522895365,59.401788109,56.821495714,0,0,0,0,15.861240325,-0.106041305,6
3.9230381377,949168,1014,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2428884457,0,0,0,0,26.878998992,17.324493575,13.937776899,19.281919244,21.510423207,10.198319322,11.629612032,11.996572041,15.133509489,56.288668737,55.278663599,0,0,0,0,107.39675299,3.9464095282,9
1.006171,684059,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,7.7419780697,0,0,0.792229,0.792229,0,0,3.0196608111,0,0,0,0,39.589256879,12.392245848,8.2306219347,15.089954865,21.274815729,9.6144764242,9.9669122263,10.847635479,12.229593065,71.633589187,64.736529026,0,0,0,0,0,0.8700342922,2
-1.648361,949163,273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3.3313517261,0,0,0.739629,0.739629,1,3.3313517261,2.9104168565,0,0,0,0,40.512636281,11.996454375,10.044883454,15.033731639,21.968384453,9.9762453564,10.366669288,9.4664670431,10.043242677,68.979106363,59.930806696,0,0,0,0,0,0.3332514898,2
1.152913,1290767,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,5.329058078,0,0,0,0.672865,0,0.672865,0,0,0,3.1491406631,0,0,0,0,19.362000515,11.906094986,9.3360238645,42.283753438,22.112432907,10.175375641,10.859699297,12.640003542,12.631789937,54.826111741,45.078445028,0,0.4527473082,54.486544601,1,0,0.5453014541,4
-0.744725,907072,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.783763,0,0,0,2.9821391631,0,0,0,0,22.726033956,11.087668609,9.5981689121,35.934903777,21.331607063,10.156656363,10.345919329,11.135085987,12.476613591,55.270825494,54.332892909,0,0,0,0,0,-0.003188439,9
1.726768,949164,1046,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,9.9889916176,10.372834112,12.098228524,66.442457496,61.087107443,0,0,0,0,0,1.2814399016,7
-0.040638,949163,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,3.3313517261,0,0,0.739629,0.739629,1,3.3313517261,2.9104168565,0,0,0,0,40.512636281,11.996454375,10.044883454,15.033731639,21.968384453,9.9762453564,10.366669288,9.4664670431,10.043242677,68.979106363,59.930806696,0,0,0,0,0,-0.219300867,4
-0.73941,1290795,1024,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0.761795,0,0,0,3.2154952047,0.761795,0,0,0,23.07740853,9.6120018918,10.083427425,35.695401562,21.841611842,11.243922575,11.267618517,11.700178369,12.038611411,60.153271039,62.975194251,0,0,0,0,0,-0.870999184,8
1.192327,1290795,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.761795,0,0,0,3.2154952047,0,0,0,0,23.07740853,9.6120018918,10.083427425,35.695401562,21.841611842,11.243922575,11.267618517,11.700178369,12.038611411,60.153271039,62.975194251,0,0,0,0,0,0.8981854214,2
1.091052,949164,281,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,9.9889916176,10.372834112,12.098228524,66.442457496,61.087107443,0,0,0,0,0,3.056149441,9
4.022865,949156,91,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.776085,0.776085,0,0,2.8780533823,0,0,0,0,44.798093486,10.794183976,9.644120852,17.625816762,20.705489864,9.5824113225,9.5892107653,9.6012577985,12.146003422,56.593475856,51.027824356,0,0,0,0,0,3.1297063134,8
1.852611,949155,295,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.778857,1,3.0044150727,0,1,0,0,1,6.6855267114,2.8879198566,0,0,0,0,36.274790067,10.346248062,8.7058642429,16.760101263,19.652003249,9.1487472515,9.9537164316,9.9185008266,11.576327373,74.413931715,68.573827444,0,0,0,0,0,2.220342536,2
0.531964,949163,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3.3313517261,0,0,0.739629,0.739629,1,3.3313517261,2.9104168565,0,0,0,0,40.512636281,11.996454375,10.044883454,15.033731639,21.968384453,9.9762453564,10.366669288,9.4664670431,10.043242677,68.979106363,59.930806696,0,0,0,0,0,0.7756017948,5
2.165242,1290768,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.799674,0,0,0,0,0,3.1382006779,0,0,0,0,23.835419265,11.045112677,10.331341449,27.801908183,19.993996052,10.398773094,10.340900295,10.720440822,11.472665716,50.594730256,52.119412441,0,0.6394785063,0,0,0,3.2091602377,1
4.74023,949157,1061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.888198,0,0,2.8984326971,0,0,0,0,25.322694992,10.66212417,9.9341309394,20.766435669,21.281993537,10.77828531,10.255519527,11.340961334,11.637528743,56.566119128,51.412605613,0,0,0,0,12.555750441,4.5665387547,3
-2.379598,1240221,87,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.5293102072,2.9104851548,0,0,0,0,27.508434475,29.335741825,9.2688434107,17.253949081,23.1855917,11.069400868,11.128037664,9.4728606273,10.442583758,73.374862967,63.95234828,0,0,0,0,0,-0.065955881,1
1.496068,907072,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.783763,0,0,0,2.9821391631,0,0,0,0,22.726033956,11.087668609,9.5981689121,35.934903777,21.331607063,10.156656363,10.345919329,11.135085987,12.476613591,55.270825494,54.332892909,0,0,0,0,0,2.976257056,2
2.976401,684059,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,7.7419780697,0,0,0.792229,0.792229,0,0,3.0196608111,0,0,0,0,39.589256879,12.392245848,8.2306219347,15.089954865,21.274815729,9.6144764242,9.9669122263,10.847635479,12.229593065,71.633589187,64.736529026,0,0,0,0,0,3.0829127803,7
0.198669,684072,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.719164,0.719164,0,0,2.8120230414,0,0,0,0,34.349183998,14.847303626,9.0052370897,18.209939189,20.110892585,9.9214544172,10.194452653,10.188591636,12.294260547,65.874090874,58.81610126,0,0,0,0,0,1.0031313221,7
0.132081,949156,153,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.776085,0.776085,0,0,2.8780533823,0,0,0,0,44.798093486,10.794183976,9.644120852,17.625816762,20.705489864,9.5824113225,9.5892107653,9.6012577985,12.146003422,56.593475856,51.027824356,0,0,0,0,0,-0.59266995,6
2.117141,925345,329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.809279,0,0,0,1,1.620897,2.376703,0,7.3094831268,2.7765696572,0,0,0,0,23.819720015,10.713575669,9.6166305006,26.426081687,21.183419867,9.48998993,9.2208158542,10.08925322,9.6053583149,70.817851914,56.739733584,0,0,0,0,0,2.349431571,4
2.542199,909717,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.676585,0.676585,0,2.8216909392,2.8853078362,0,0,0,0,26.394592694,11.651586588,11.401136223,28.150214215,23.366112791,10.400456682,10.269367238,9.951128449,10.77562335,53.406060786,53.270873983,0,0,0,0,0,0.5845611331,3
-3.668959,684057,1024,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3.6524762055,0,0,0,0,0,0,2.9417306795,0,0,0,0,37.7518021,15.255574203,8.5429282835,18.311755346,23.421523515,9.1117252354,9.572601765,9.9325293684,10.613455181,73.067310145,62.936821248,0,0,0,0,0,-0.513584315,8
2.757804,925345,253,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.809279,0,0,0,1,1.620897,2.376703,0,7.3094831268,2.7765696572,0,0,0,0,23.819720015,10.713575669,9.6166305006,26.426081687,21.183419867,9.48998993,9.2208158542,10.08925322,9.6053583149,70.817851914,56.739733584,0,0,0,0,0,1.9855485836,7
-0.985437,925345,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0.809279,0,0,0,1,1.620897,2.376703,0,7.3094831268,2.7765696572,0,0,0,0,23.819720015,10.713575669,9.6166305006,26.426081687,21.183419867,9.48998993,9.2208158542,10.08925322,9.6053583149,70.817851914,56.739733584,0,0,0,0,0,-0.932621497,10
0.756689,907290,260,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.808822,0.808822,0,0,3.0519680987,0,0,0,0,26.540855409,11.097131508,10.184566407,36.629645354,21.789258991,10.804519206,11.185040684,9.3369333412,11.522895365,59.401788109,56.821495714,0,0,0,0,15.861240325,1.971340539,8
4.302002,909776,249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.695469,0,0,2.7347708294,0,0,0,0,22.345868805,10.158999337,10.240556941,48.4562224,21.602636521,14.171106839,10.957770088,10.708224261,11.95300844,53.678525463,46.901006647,1,0,71.616084463,1,134.16309233,4.0173363047,3
0.130219,949160,1024,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0.714234,0,0,0,1,0,0,0,0,2.9003866725,0,0,0,0,36.589254823,10.627773576,7.9993350407,19.306658023,19.318383235,9.4980359672,9.1903802899,8.8651518158,10.815929984,58.527435888,51.899110049,0,0,0,0,0,-0.706364854,8
4.380955,907060,260,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2.930800576,0,0,0,0.769749,0,0,0,0,0,2.9613389716,0,0,0,0,27.262048529,10.61348984,9.6218970609,33.515964853,24.002591281,9.4672671951,10.137707235,11.447725503,12.312499106,59.406716804,52.544828719,0,0.592513523,0,0,0,3.8538324167,7
