IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_797,Fingerprint_714,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_658,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_617,Fingerprint_611,GO_0000278,GO_0016477,FAM_TKL_CSV,PKA_172_ASA_X_Fingerprint_644,EXP_COQ8A_X_EXP_PDSS1,EXP_PRKAA2_X_EXP_TP53,EXP_SRC_X_EXP_ARRB2,EXP_SRC_X_EXP_CASP8,GO_0032212_X_GO_0043066,Predicted IC50,Validation
-1.636767,1240160,1057,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,-2.592407783,1
4.706292,909719,253,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,4.8947101772,8
4.036877,909739,253,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,4.1979439964,4
0.204335,909736,219,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,0.5794699821,7
0.611097,909736,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,1.41342559,10
2.830668,909736,203,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,2.7252248728,7
4.728824,1298146,226,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,3.6322179532,1
1.883203,1240159,207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,2.512454634,5
5.681786,1298146,288,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,5.6176802189,1
2.665223,907071,1019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,0.749682344,1
4.600361,909737,1061,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,3.7851199784,9
1.882456,909737,260,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,2.0729283189,10
2.970453,909738,254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,2.767584969,5
3.639883,909738,1013,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,2.7173311008,8
5.472243,1298146,329,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,4.8380367392,7
-1.189367,909736,1024,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,-0.339088672,5
2.610084,1240217,304,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,3.9410009792,9
3.111634,907071,219,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,-0.9,37.041244236,17.060561481,25.724939949,19.803250978,0,3.5320488716,6
2.893956,1298151,1030,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,3.9424066649,6
3.423503,1298146,1049,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,2.8411518799,5
-1.086654,1298151,1015,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,-0.658126743,7
4.363545,909719,298,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,4.1581136007,7
5.293508,909737,1129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,3.9983904859,7
4.548105,1240159,294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,4.5963470096,5
0.243297,1240217,178,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,2.3506958594,8
3.742214,1240159,282,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,4.6162679081,9
4.288446,909736,1043,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,4.2956954941,6
4.177255,909738,279,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,4.6783553911,8
2.781071,1240160,1029,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,2.8483794206,7
1.015874,909738,273,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,0.5423879991,6
6.349439,1298146,309,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,7.2472185344,8
3.143271,909736,301,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,3.082235501,6
5.406267,907071,291,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,5.8942741713,2
3.609518,910850,1021,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,2.6857100919,7
2.9714822211,1240160,1032,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,3.1538046952,10
0.775303,1298151,312,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,0.2374083559,10
4.668954,907071,288,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,3.5676035121,8
5.825527,1298151,193,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,5.4450852861,7
1.544811,907071,202,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,1.1170142743,5
2.761106,909738,287,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,3.2519517273,9
4.549526,910850,262,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,3.5354420314,1
0.866545,907057,283,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.774233,0,26.467730223,14.239302059,20.159938621,19.596252605,0,-1.683958256,7
1.528209,1298146,1010,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,1.3943318549,1
4.168631,909738,1373,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,3.3098194085,6
0.431026,909736,331,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,1.116789995,10
-2.957507,909736,1057,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,-2.59218865,8
2.042251,1240159,1019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,2.7247826225,3
4.581027,909739,231,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,4.7738183609,10
1.817817,909736,260,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,2.0801125263,7
-1.495836,909737,153,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,-1.767237996,4
3.679095,1240159,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,3.7150167022,2
5.051901,1240216,1129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.824209,0,24.595890283,14.349956727,17.323213801,16.791871412,0,3.4176218006,1
2.14086,909719,305,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,3.7644374883,1
5.912103,910850,290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.542071,0,48.41287936,19.382278659,37.993831391,31.328445838,1,4.511773221,2
4.074272,907071,282,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,0,3.2455540211,4
-0.551262,909738,308,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,0.5423879991,4
3.198813,1298151,1143,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,1.4117874988,1
3.850228,909739,262,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,3.4373692828,5
3.616735,1240217,1194,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,3.7150305308,1
2.958906,1240216,260,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.824209,0,24.595890283,14.349956727,17.323213801,16.791871412,0,1.9913030124,6
2.510992,909719,1061,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,3.2334168934,10
4.673917,1298146,292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,5.6912684515,1
4.068492,1240160,229,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,3.9361279562,8
2.238702,1240217,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,0,2.0657535601,7
6.351216,1298146,304,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,6.774665298,6
4.618149,909719,345,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,4.0956584246,2
-1.425317,909738,302,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,0.5748476054,8
3.463524,1240160,1052,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,2.1611265461,10
1.976104,1240159,1010,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,1.185072553,8
3.690428,1240160,281,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,4.2008259635,7
6.249467,1298146,291,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1.351098,0,51.964453804,21.931007996,34.888751606,29.775278758,2,5.9273600742,2
3.972169,909736,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,3.9566935092,1
5.1296,909719,290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,4.1485373787,4
0.185988,1240159,153,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0.545751,0,38.983090682,15.327107304,32.033418446,33.434750632,0,0.6768130567,4
-2.452851,909737,302,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,-0.981701579,3
3.183881,909737,292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,2.7273240076,3
3.86677,1240160,298,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,4.2180080869,7
5.634963,909736,231,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,5.1917547694,4
2.870164,1240160,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,1.7154284266,2
1.75104,909738,167,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,1.9135505626,8
3.991584,909719,281,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0.751916,0,29.836462018,14.588292222,17.13390608,21.87263279,0,3.7475079758,3
3.139119,909736,1042,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,3.3870384641,8
3.830538,1298151,329,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,3.784239787,7
2.657979,909739,302,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,0,4.1243114365,9
2.464045,909737,287,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,0,1.6234010045,7
-3.817176,909736,1060,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,-1.263618885,1
2.60694,1240160,1019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,0,1.6032432566,2
4.800209,1240216,298,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0.824209,0,24.595890283,14.349956727,17.323213801,16.791871412,0,4.1653587517,1
3.058056,1240216,257,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0.824209,0,24.595890283,14.349956727,17.323213801,16.791871412,0,2.5978370363,6
-0.069996,909736,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,0,-0.547059188,1
3.399529,1298151,1129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,0,3.298296715,3
4.1792,909738,1129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,27.977022855,13.381234536,24.885413353,24.704479382,0,4.2983151116,3
