IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_709,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_617,Fingerprint_611,GO_0000278,GO_0016477,GO_0030216_EXP,SFAM_RIPK,FAM_TKL_CSV,EXP_COQ8A_X_EXP_PDSS1,EXP_PRKAA2_X_EXP_TP53,EXP_SRC_X_EXP_ARRB2,EXP_SRC_X_EXP_CASP8,EXP_SRC_X_EXP_VCAM1,EXP_STK11_X_EXP_MYC,EXP_STK11_X_EXP_TP53,GO_0032212_X_GO_0043066,Predicted IC50,Validation
2.659946,1298146,153,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,2,5.7848448009,1,1.351098,51.964453804,21.931007996,34.888751606,29.775278758,56.93672438,58.144369091,19.048129023,2,3.2279761326,3
-0.589828,1298151,153,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,14.205673265,49.190541811,15.076489554,0,-1.145318315,9
-0.927075,907057,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.774233,26.467730223,14.239302059,20.159938621,19.596252605,31.143482019,48.267059389,14.364492707,0,-0.879387434,3
-1.23139,907071,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,45.724019801,52.989407318,16.594371407,0,-1.490778535,5
-0.850851,909719,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,3.1913423018,0,0.751916,29.836462018,14.588292222,17.13390608,21.87263279,11.129437377,48.891806068,14.351758417,0,-0.881211364,6
0.189601,909736,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,19.74876179,35.78231046,12.023338272,0,0.6555854829,5
1.511673,909737,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,20.342540706,47.233718778,15.71987631,0,0.6184789917,1
-0.829143,909738,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,15.287724326,48.580444913,14.712098294,0,-0.566204042,2
0.921073,909739,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,35.543980459,38.137761697,14.851014061,0,0.657032559,3
0.05142,910850,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1.542071,48.41287936,19.382278659,37.993831391,31.328445838,18.178104579,57.083383164,16.807610268,1,0.415029832,9
1.892969,1240159,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,5.515984999,1,0.545751,38.983090682,15.327107304,32.033418446,33.434750632,42.17240033,59.634162386,16.478369078,0,0.0185721547,7
-1.417734,1240160,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,16.58681293,40.167530663,12.979476126,0,-0.883531581,1
1.456102,1240216,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.824209,24.595890283,14.349956727,17.323213801,16.791871412,11.297757657,40.801514876,13.303250617,0,0.6571098436,2
-1.35291,1240217,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,10.682262832,38.226455689,13.100330564,0,-0.858235288,2
0.73324,1298146,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,5.7848448009,1,1.351098,51.964453804,21.931007996,34.888751606,29.775278758,56.93672438,58.144369091,19.048129023,2,1.1773706504,1
1.408391,1298151,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,14.205673265,49.190541811,15.076489554,0,0.4803254718,8
-0.949347,907057,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.774233,26.467730223,14.239302059,20.159938621,19.596252605,31.143482019,48.267059389,14.364492707,0,-0.514307384,1
-0.734693,907071,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,45.724019801,52.989407318,16.594371407,0,0.2687926717,1
-1.166762,909719,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.1913423018,0,0.751916,29.836462018,14.588292222,17.13390608,21.87263279,11.129437377,48.891806068,14.351758417,0,0.8402562329,6
-1.095373,909736,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,19.74876179,35.78231046,12.023338272,0,-0.63855868,3
-0.868956,909737,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,20.342540706,47.233718778,15.71987631,0,-0.729755849,4
-0.46682,909738,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,15.287724326,48.580444913,14.712098294,0,0.8401645007,4
0.595195,909739,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,35.543980459,38.137761697,14.851014061,0,0.4225617099,3
-0.916803,910850,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.542071,48.41287936,19.382278659,37.993831391,31.328445838,18.178104579,57.083383164,16.807610268,1,2.1276176834,7
-0.583701,1240159,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.515984999,1,0.545751,38.983090682,15.327107304,32.033418446,33.434750632,42.17240033,59.634162386,16.478369078,0,0.2758447784,8
-0.393629,1240160,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,16.58681293,40.167530663,12.979476126,0,0.8398395433,8
-0.190634,1240216,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.824209,24.595890283,14.349956727,17.323213801,16.791871412,11.297757657,40.801514876,13.303250617,0,-0.473090074,2
-3.226523,1240217,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,10.682262832,38.226455689,13.100330564,0,-2.489873315,2
0.895248,1298146,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5.7848448009,1,1.351098,51.964453804,21.931007996,34.888751606,29.775278758,56.93672438,58.144369091,19.048129023,2,2.1278548734,6
0.049729,1298151,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,14.205673265,49.190541811,15.076489554,0,-0.95190967,6
1.753711,907057,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.774233,26.467730223,14.239302059,20.159938621,19.596252605,31.143482019,48.267059389,14.364492707,0,0.9341914234,7
1.543288,909719,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3.1913423018,0,0.751916,29.836462018,14.588292222,17.13390608,21.87263279,11.129437377,48.891806068,14.351758417,0,1.2197595679,9
0.469265,909736,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,19.74876179,35.78231046,12.023338272,0,0.5409964352,9
1.057507,909737,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,20.342540706,47.233718778,15.71987631,0,0.8584973982,3
1.307517,909738,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,15.287724326,48.580444913,14.712098294,0,1.3090904472,6
3.241965,909739,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,35.543980459,38.137761697,14.851014061,0,3.1366695744,8
1.638468,910850,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.542071,48.41287936,19.382278659,37.993831391,31.328445838,18.178104579,57.083383164,16.807610268,1,2.4993369765,10
1.328,1240159,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5.515984999,1,0.545751,38.983090682,15.327107304,32.033418446,33.434750632,42.17240033,59.634162386,16.478369078,0,1.1788616198,5
1.000987,1240160,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,16.58681293,40.167530663,12.979476126,0,1.372015518,9
1.866312,1240216,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0.824209,24.595890283,14.349956727,17.323213801,16.791871412,11.297757657,40.801514876,13.303250617,0,1.6805168077,3
-0.444912,1240217,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,10.682262832,38.226455689,13.100330564,0,0.0884156073,7
1.771226,1298151,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,14.205673265,49.190541811,15.076489554,0,1.4009278689,8
-0.099418,907057,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.774233,26.467730223,14.239302059,20.159938621,19.596252605,31.143482019,48.267059389,14.364492707,0,-0.289162471,5
-0.922312,907071,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,45.724019801,52.989407318,16.594371407,0,0.3339064112,5
-1.062968,909719,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3.1913423018,0,0.751916,29.836462018,14.588292222,17.13390608,21.87263279,11.129437377,48.891806068,14.351758417,0,-0.002777443,1
-0.02777,909736,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,19.74876179,35.78231046,12.023338272,0,-0.14531324,8
0.123295,909737,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,20.342540706,47.233718778,15.71987631,0,0.4022749556,2
-0.367694,909738,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,15.287724326,48.580444913,14.712098294,0,0.1584672814,4
2.4455,909739,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,35.543980459,38.137761697,14.851014061,0,0.8426279657,1
1.014104,910850,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1.542071,48.41287936,19.382278659,37.993831391,31.328445838,18.178104579,57.083383164,16.807610268,1,1.2698026903,6
1.152953,1240159,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,5.515984999,1,0.545751,38.983090682,15.327107304,32.033418446,33.434750632,42.17240033,59.634162386,16.478369078,0,0.2380234404,1
-0.191659,1240160,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,16.58681293,40.167530663,12.979476126,0,0.1901920563,3
0.723733,1240216,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.824209,24.595890283,14.349956727,17.323213801,16.791871412,11.297757657,40.801514876,13.303250617,0,0.8825567712,2
-2.281997,1240217,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,25.878621649,13.612986655,16.062063195,11.559611023,10.682262832,38.226455689,13.100330564,0,-0.473023147,8
4.584133,1298146,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,5.7848448009,1,1.351098,51.964453804,21.931007996,34.888751606,29.775278758,56.93672438,58.144369091,19.048129023,2,0.6988353122,10
1.426747,1298151,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,14.205673265,49.190541811,15.076489554,0,0.3087528477,4
1.127627,907057,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.774233,26.467730223,14.239302059,20.159938621,19.596252605,31.143482019,48.267059389,14.364492707,0,0.6974456017,7
2.388666,907071,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,45.724019801,52.989407318,16.594371407,0,0.6974043092,4
1.140259,909719,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3.1913423018,0,0.751916,29.836462018,14.588292222,17.13390608,21.87263279,11.129437377,48.891806068,14.351758417,0,0.6974053922,2
1.931075,909736,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,19.74876179,35.78231046,12.023338272,0,2.0946912812,6
1.677863,909737,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,20.342540706,47.233718778,15.71987631,0,1.1312244992,5
1.75104,909738,167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,15.287724326,48.580444913,14.712098294,0,0.6999537596,6
