IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,MUT_MAP3K19_CSV,EXP_COQ8A,EXP_BMP2K,EXP_TYRO3,EXP_STK39,EXP_ABL1_X_EXP_NAA25,EXP_ABL1_X_EXP_WASF1,EXP_BMP2K_X_EXP_NUMB,EXP_EIF2AK2_X_EXP_DDX58,EXP_EIF2AK2_X_EXP_IFI44L,EXP_GRK2_X_EXP_OR7G3,EXP_GRK2_X_EXP_P2RY11,EXP_GRK2_X_EXP_PEBP1,EXP_STK25_X_EXP_PDCD10,Predicted IC50,Validation
-1.654198,753552,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-1.156637731,5
2.895553,753552,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.5723432837,7
2.685076,753552,55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,2.9738228639,3
3.897434,753552,56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.9384021879,4
2.295221,753552,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.2784488087,9
-1.565944,753552,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,1.7980972657,6
4.020555,753552,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,4.0684455014,7
3.486597,753552,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.0097596572,7
-2.524766,753552,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-0.399475684,5
-1.25813,753552,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-1.204196338,6
0.617766,753552,87,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,0.4963168019,2
4.161232,753552,91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,4.5091984769,8
2.679029,753552,106,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,2.9895459071,1
4.028425,753552,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,3.5694991105,5
-2.368121,753552,119,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-2.954704577,7
1.800659,687452,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3.9756980829,4.7746715945,4.9310779605,4.3801194075,41.211373461,35.802168784,23.03320733,39.578700829,26.148673934,12.396290904,16.038520736,36.423006688,60.54857718,1.76529663,3
1.035886,687455,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0206514627,4.5132754594,3.8399893723,5.3690671337,35.319169501,25.449699003,25.520813865,28.328973282,20.77271115,10.249101639,13.161818338,34.309401425,46.171866531,1.1957852668,3
3.712518,687459,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3.7750217434,6.4845635998,4.1637910594,4.1099655884,34.755870007,25.835093804,30.021792299,64.077142002,74.609367555,11.174113459,13.134354154,31.981405473,44.803608006,3.98610094,2
2.394422,724812,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3.7234969251,5.1040823828,3.876011784,4.9750514666,34.761232788,26.053038677,26.133959104,52.032754268,50.462723367,10.946481006,13.419896718,33.447877177,57.559323593,2.1459490211,5
1.598465,724838,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.2842057895,4.5338299346,3.8545863516,4.1375542049,55.673042427,36.730083042,23.613878277,42.531408667,22.681308314,12.303724236,15.030348236,35.81343234,49.841545998,1.6266214594,10
2.51159,753552,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,2.1982346507,3
4.59947,753566,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.747083,4.0198847878,5.1436910502,3.8326027348,3.9135600487,32.567668049,26.966113588,24.73023665,68.212093245,63.343848192,11.620918845,12.04732133,34.394839084,54.588299152,4.8217850156,2
2.076044,906797,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.2355762025,5.1955338619,3.7757457396,4.1665083287,35.571954132,28.794491589,24.412777213,50.715170845,42.645541027,11.135253943,12.271955385,35.043203446,53.942528787,2.1456803691,5
3.250349,906798,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.4156995237,5.6835132259,4.4701725135,5.1766119232,36.800342432,32.498683566,28.740197833,39.34793594,26.256481212,12.300533085,14.210374285,36.316564477,57.666129914,3.5430970428,3
3.423711,907065,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.733222,3.8911186725,5.5784705731,3.4634271342,3.1938071887,30.262203964,16.22189344,28.74283811,66.457796513,45.429656824,10.571549596,11.428442532,35.721014336,51.10585255,3.8974141659,6
3.640766,907312,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0102803748,5.6966804957,3.7145435456,3.9267963208,31.202297744,20.705490251,28.917611022,34.647518354,25.954492303,12.172945852,16.546435925,34.419281003,53.568983936,3.5644345023,7
3.480901,909704,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.6186327115,3.556404129,3.9044155458,4.600857288,32.374799013,23.31322128,16.938202554,30.086639489,24.56373632,12.186684504,14.613336486,34.696250514,56.850374598,3.5340801866,3
3.961243,909780,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3.9864387426,5.3382416798,4.0083087327,4.4900887461,37.276723438,26.156679011,25.940341307,46.154271401,26.347803443,12.070672761,12.759589867,30.688503112,55.094662829,4.1227358848,9
2.431268,910926,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.8589154852,4.3856903984,4.3576758094,5.3181855834,40.451513058,28.846343907,25.027433285,50.10208626,31.193232658,14.534363969,17.023648456,40.640690037,64.571267488,2.0551048499,10
4.425423,1299051,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3.9348772482,4.9026373039,3.9975818697,4.5877846112,31.770418077,25.00454783,33.88703479,61.318245696,68.179557814,11.960412509,15.497781808,30.313986847,54.009365708,4.1911088241,8
-1.0128,687452,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.9756980829,4.7746715945,4.9310779605,4.3801194075,41.211373461,35.802168784,23.03320733,39.578700829,26.148673934,12.396290904,16.038520736,36.423006688,60.54857718,-0.784901542,6
0.537506,687455,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0206514627,4.5132754594,3.8399893723,5.3690671337,35.319169501,25.449699003,25.520813865,28.328973282,20.77271115,10.249101639,13.161818338,34.309401425,46.171866531,-0.557238125,1
-2.365253,687459,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.7750217434,6.4845635998,4.1637910594,4.1099655884,34.755870007,25.835093804,30.021792299,64.077142002,74.609367555,11.174113459,13.134354154,31.981405473,44.803608006,0.6626068189,3
-0.29581,724812,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.7234969251,5.1040823828,3.876011784,4.9750514666,34.761232788,26.053038677,26.133959104,52.032754268,50.462723367,10.946481006,13.419896718,33.447877177,57.559323593,0.0862609923,9
-0.554472,724838,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.2842057895,4.5338299346,3.8545863516,4.1375542049,55.673042427,36.730083042,23.613878277,42.531408667,22.681308314,12.303724236,15.030348236,35.81343234,49.841545998,-0.945713844,1
-0.461365,753552,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0715409921,4.7694202433,4.5709219205,4.6743795136,33.970428614,21.91717692,24.345720562,29.32752021,25.675641547,12.054706919,14.189901935,39.031571595,54.469504275,-0.451737925,8
0.468275,753566,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.747083,4.0198847878,5.1436910502,3.8326027348,3.9135600487,32.567668049,26.966113588,24.73023665,68.212093245,63.343848192,11.620918845,12.04732133,34.394839084,54.588299152,0.5969137678,3
1.042198,906797,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.2355762025,5.1955338619,3.7757457396,4.1665083287,35.571954132,28.794491589,24.412777213,50.715170845,42.645541027,11.135253943,12.271955385,35.043203446,53.942528787,-0.015474855,1
-0.512143,906798,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.4156995237,5.6835132259,4.4701725135,5.1766119232,36.800342432,32.498683566,28.740197833,39.34793594,26.256481212,12.300533085,14.210374285,36.316564477,57.666129914,-1.43422072,5
2.107059,907065,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.733222,3.8911186725,5.5784705731,3.4634271342,3.1938071887,30.262203964,16.22189344,28.74283811,66.457796513,45.429656824,10.571549596,11.428442532,35.721014336,51.10585255,0.6550524506,10
1.879729,907312,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0102803748,5.6966804957,3.7145435456,3.9267963208,31.202297744,20.705490251,28.917611022,34.647518354,25.954492303,12.172945852,16.546435925,34.419281003,53.568983936,0.2514985869,4
-1.171959,909704,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.6186327115,3.556404129,3.9044155458,4.600857288,32.374799013,23.31322128,16.938202554,30.086639489,24.56373632,12.186684504,14.613336486,34.696250514,56.850374598,-1.434242773,9
-0.570948,909780,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.9864387426,5.3382416798,4.0083087327,4.4900887461,37.276723438,26.156679011,25.940341307,46.154271401,26.347803443,12.070672761,12.759589867,30.688503112,55.094662829,0.5967381621,1
-1.210653,910926,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.8589154852,4.3856903984,4.3576758094,5.3181855834,40.451513058,28.846343907,25.027433285,50.10208626,31.193232658,14.534363969,17.023648456,40.640690037,64.571267488,-1.440060332,2
0.855912,1299051,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.9348772482,4.9026373039,3.9975818697,4.5877846112,31.770418077,25.00454783,33.88703479,61.318245696,68.179557814,11.960412509,15.497781808,30.313986847,54.009365708,0.5988113572,6
0.363771,687452,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3.9756980829,4.7746715945,4.9310779605,4.3801194075,41.211373461,35.802168784,23.03320733,39.578700829,26.148673934,12.396290904,16.038520736,36.423006688,60.54857718,-0.147388677,2
-1.23604,687455,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,4.0206514627,4.5132754594,3.8399893723,5.3690671337,35.319169501,25.449699003,25.520813865,28.328973282,20.77271115,10.249101639,13.161818338,34.309401425,46.171866531,-0.44791836,8
-0.422309,687459,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3.7750217434,6.4845635998,4.1637910594,4.1099655884,34.755870007,25.835093804,30.021792299,64.077142002,74.609367555,11.174113459,13.134354154,31.981405473,44.803608006,-0.131853515,10
