IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_647,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_611,MOT_2D_linker_EXP,SDOM_subdomainI_CSV,SDOM_subdomainV_CSV,EXP_BTK,EXP_CDKL4,EXP_BTK_X_EXP_CD79A,EXP_MARK3_X_EXP_IQGAP1,EXP_MARK3_X_EXP_PPP2CB,EXP_MET_X_EXP_CBLC,EXP_MET_X_EXP_FGF12,EXP_MET_X_EXP_PDGFA,EXP_MET_X_EXP_RAPGEF1,EXP_PTK6_X_EXP_CCND1
6.017817,1240141,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
5.977658,1290808,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
5.558377,1290810,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
4.471663,1290813,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
-0.572261,908150,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
-0.178657,908152,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
0.737025,908470,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
1.487803,1240141,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
1.727145,1290808,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
0.546707,1290810,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
-1.268223,1290813,1022,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
2.657009,908150,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
1.544093,908152,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
3.08647,908470,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
6.883909,1240131,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
4.059083,1240141,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
5.207727,1290808,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
3.154999,1290810,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
2.483366,1290813,1046,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
3.374313,908150,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
0.867331,908152,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
6.133307,908470,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
6.806788,1240131,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
6.407649,1240141,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
5.83851,1290808,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
5.307803,1290810,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
-0.616025,1290813,1049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
5.00548,908150,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
5.070117,908152,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
4.892133,908470,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
6.305364,1240131,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
5.522173,1290808,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
3.537766,1290810,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
3.286675,1290813,1053,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
4.62951,908150,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
4.202834,908152,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
1.773957,908470,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
6.143662,1240131,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
5.865351,1290808,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
4.290247,1290810,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
2.182113,1290813,1054,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
-1.369769,908150,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
-0.151096,908152,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
0.51165,908470,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
0.136768,1240131,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
-0.846502,1240141,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
-0.263841,1290808,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
-1.132848,1290810,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
-2.64811,1290813,1057,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
2.001385,908150,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
-0.094987,908152,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
2.154514,908470,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
3.035948,1240131,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
2.426161,1240138,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.67103485524647,3.01828244557566,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,10.2445854547084,25.7646703853935,17.0082114720738,28.074886527518
2.444024,1240141,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
4.07975,1290808,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
0.029868,1290810,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
-0.901489,1290813,1060,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
2.212713,907173,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.73606907977179,3.03899848466515,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,10.7787544855442,22.832449058611,15.0810771679659,21.9304561791983
1.316749,908150,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
1.481033,908470,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
2.337618,1240131,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
-0.137084,1240141,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
3.413198,1290808,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
0.994592,1290810,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
-3.293055,1290813,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
1.407863,1290814,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.41705553993053,0,0.859703,2.81075650760703,3.02059281277842,8.21603191464382,63.9775088572622,65.4925806762601,17.9301532689922,17.9804149632421,36.41217719866,29.2116877442116,30.8228364620632
6.537531,907173,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.73606907977179,3.03899848466515,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,10.7787544855442,22.832449058611,15.0810771679659,21.9304561791983
3.834884,908150,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
2.691795,908470,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
8.368822,1240131,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.78318852909427,3.00440636763308,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,23.555262628362,37.8807863916562,26.0410273208821,26.6656941030282
6.239189,1240141,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7.97565681193086,0,1.523447,2.90427032362878,3.10311751614494,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,16.4480859194939,31.4958290556346,20.9910153277211,31.3192384404535
6.97815,1290808,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.75359748527721,3.0833104751744,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,13.6585191123167,31.6812337478125,19.5313025442164,25.374180267657
5.542701,1290810,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7.81585292288992,0,0.774333,2.88765711776581,3.11008003336468,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,24.6308983204163,43.5484493752581,27.5079759623072,22.9651919708354
1.519108,1290813,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.780554,0,2.70336677937281,2.88154901289178,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,10.9794775542325,27.220654411641,14.2105719803042,20.6990082233709
5.823368,1290814,1373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4.41705553993053,0,0.859703,2.81075650760703,3.02059281277842,8.21603191464382,63.9775088572622,65.4925806762601,17.9301532689922,17.9804149632421,36.41217719866,29.2116877442116,30.8228364620632
5.05969,907173,1032,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.73606907977179,3.03899848466515,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,10.7787544855442,22.832449058611,15.0810771679659,21.9304561791983
2.162033,908150,1032,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.83303254608064,2.89303313119386,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,15.223651682235,27.3591577733483,18.4863902442296,20.7765864257371
4.789479,908152,1032,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.68719481874946,3.0193455190215,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,21.9961360231307,37.1688224665599,25.892290024213,26.3504021084922
1.834089,908470,1032,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2.85858856546691,3.06178821649857,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,25.5299749866556,42.6792424803131,30.8506252392194,27.2763622681056
