IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_784,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_704,Fingerprint_698,Fingerprint_697,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,GO_0090263,EXP_TRPM6,EXP_COQ8A,EXP_EIF2AK2,EXP_MAP2K5,PKA_140_POL_X_Fingerprint_646,PKA_252_ASA_X_Fingerprint_576,PKA_265_ASA_X_Fingerprint_659,PKA_265_CSV_X_Fingerprint_659,PKA_265_EXP_X_Fingerprint_659,PKA_265_HYD_X_Fingerprint_659,PKA_265_X_Fingerprint_659,EXP_ABL1_X_EXP_WASF1,EXP_BMP2K_X_EXP_NUMB,EXP_BMP2K_X_EXP_RALBP1,EXP_GRK2_X_EXP_OR5AC2,EXP_GRK2_X_EXP_OR6A2,EXP_GRK2_X_EXP_P2RY11,EXP_PHKG2_X_EXP_PHKA1,EXP_STK25_X_EXP_PDCD10,Predicted IC50,Validation
2.149468,906798,254,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2.7803010607,4.4156995237,7.9009832967,4.3548478975,0,0,0,0,0,0,0,32.498683566,28.740197833,41.148131616,10.617941182,10.978082591,14.210374285,39.398043277,57.666129914,2.2911974982,7
4.345537,909704,1219,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2.8530525626,4.6186327115,7.3507488739,4.2632938294,0,0,0,0,0,0,0,23.31322128,16.938202554,23.266330538,11.385422122,10.058080823,14.613336486,24.957773828,56.850374598,2.6224909538,10
3.126479,724838,345,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2.9836383766,4.2842057895,7.1255378203,5.0341004575,0,0,0,0,0,0,0,36.730083042,23.613878277,30.687369391,12.3656465,12.330103867,15.030348236,45.595864262,49.841545998,4.2665530148,4
1.555329,753552,1013,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,0,0,0,0,0,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,3.1473599707,7
3.675168,687459,252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.2743771953,3.7750217434,8.4800506831,4.0443463397,0,0,0,0,0,0,0,25.835093804,30.021792299,41.65418295,9.626436848,9.3211001204,13.134354154,22.781254069,44.803608006,2.9469374883,8
1.636334,753552,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,-2.1,0.789683,3.0565287064,0.23,1,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,2.8023441558,7
3.512541,724838,279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2.9836383766,4.2842057895,7.1255378203,5.0341004575,0,0,0,0,0,0,0,36.730083042,23.613878277,30.687369391,12.3656465,12.330103867,15.030348236,45.595864262,49.841545998,3.5980430641,9
4.585179,906797,1039,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.8316592658,4.2355762025,8.0826916384,4.6831363339,0,0,0,0,0,0,0,28.794491589,24.412777213,36.974444232,10.140456889,10.280171054,12.271955385,30.770127242,53.942528787,3.7077994664,4
2.529965,906798,1050,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2.7803010607,4.4156995237,7.9009832967,4.3548478975,0,0,0,0,0,0,0,32.498683566,28.740197833,41.148131616,10.617941182,10.978082591,14.210374285,39.398043277,57.666129914,2.2388100575,4
2.904163,724838,203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2.9836383766,4.2842057895,7.1255378203,5.0341004575,0,0,0,0,0,0,0,36.730083042,23.613878277,30.687369391,12.3656465,12.330103867,15.030348236,45.595864262,49.841545998,2.1760575523,5
0.44745,907312,1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,2.9035753428,4.0102803748,7.2593508322,4.2715280033,0,0,0,0,0,0,0,20.705490251,28.917611022,37.370714455,13.506439233,11.322134543,16.546435925,30.35546928,53.568983936,0.5977850303,10
2.938874,687455,1373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3.0446116004,4.0206514627,6.7362646701,4.6050594629,0,0,0,0,0,0,0,25.449699003,25.520813865,31.582771955,10.162596787,10.013641659,13.161818338,27.154899493,46.171866531,4.0806922109,7
1.087286,910926,207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2.7865222701,4.8589154852,7.6144374446,4.3089667654,0,0,0,0,0,0,0,28.846343907,25.027433285,32.901631807,12.608365425,12.443682479,17.023648456,32.277508146,64.571267488,0.6635174948,5
5.069964,1299051,253,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2.9468669943,3.9348772482,8.0369905138,4.0536459547,0,0,0,0,0,0,0,25.00454783,33.88703479,32.107113426,11.810054952,10.517658071,15.497781808,21.978302566,54.009365708,5.131833063,9
2.563058,907065,256,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,3.2461249685,3.8911186725,8.3477110844,3.7299895375,0,0,0,0,0,0,0,16.22189344,28.74283811,45.346379474,9.9880113616,10.267322173,11.428442532,18.960726566,51.10585255,3.4278074424,1
3.632975,687455,294,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,3.0446116004,4.0206514627,6.7362646701,4.6050594629,0,0,0,0,0,0,0,25.449699003,25.520813865,31.582771955,10.162596787,10.013641659,13.161818338,27.154899493,46.171866531,3.7637956128,6
2.712462,907312,1029,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2.9035753428,4.0102803748,7.2593508322,4.2715280033,0,-18.1,0,0,0,0,0,20.705490251,28.917611022,37.370714455,13.506439233,11.322134543,16.546435925,30.35546928,53.568983936,2.9829511958,6
1.99618,910926,282,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2.7865222701,4.8589154852,7.6144374446,4.3089667654,0,0,0,0,0,0,0,28.846343907,25.027433285,32.901631807,12.608365425,12.443682479,17.023648456,32.277508146,64.571267488,1.5451595682,9
2.535915,724838,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2.9836383766,4.2842057895,7.1255378203,5.0341004575,0,0,0,0,0,0,0,36.730083042,23.613878277,30.687369391,12.3656465,12.330103867,15.030348236,45.595864262,49.841545998,1.3942482641,10
1.619726,910926,222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2.7865222701,4.8589154852,7.6144374446,4.3089667654,0,0,0,0,0,0,0,28.846343907,25.027433285,32.901631807,12.608365425,12.443682479,17.023648456,32.277508146,64.571267488,2.1222386532,6
2.884206,687455,288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3.0446116004,4.0206514627,6.7362646701,4.6050594629,0,0,0,0,0,0,0,25.449699003,25.520813865,31.582771955,10.162596787,10.013641659,13.161818338,27.154899493,46.171866531,3.296648183,8
2.035014,906797,1219,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.8316592658,4.2355762025,8.0826916384,4.6831363339,-1,0,0,0,0,0,0,28.794491589,24.412777213,36.974444232,10.140456889,10.280171054,12.271955385,30.770127242,53.942528787,2.6039619189,10
0.063767,910926,1054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2.7865222701,4.8589154852,7.6144374446,4.3089667654,0,0,0,0,0,0,0,28.846343907,25.027433285,32.901631807,12.608365425,12.443682479,17.023648456,32.277508146,64.571267488,0.0214483946,7
2.930074,724812,249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3.137349653,3.7234969251,7.6373919779,4.3738987146,0,0,0,0,0,0,0,26.053038677,26.133959104,30.23839635,10.545732299,10.079360638,13.419896718,24.95656213,57.559323593,2.499990552,10
3.246424,753552,1029,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,0,0,0,0,0,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,2.6399222782,10
2.442245,909780,1030,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2.9443712354,3.9864387426,7.9547375393,3.9195163718,0,0,0,0,0,0,0,26.156679011,25.940341307,34.138151781,10.592311019,11.204375796,12.759589867,28.518916939,55.094662829,4.1563752976,9
0.116906,753566,167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,2.9439656625,4.0198847878,8.1460334223,4.0387986941,0,0,0,0,0,0,0,26.966113588,24.73023665,32.04126568,10.127015834,11.143969647,12.04732133,29.240215623,54.588299152,0.9927782073,8
5.362816,909780,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2.9443712354,3.9864387426,7.9547375393,3.9195163718,0,0,0,0,0,0,0,26.156679011,25.940341307,34.138151781,10.592311019,11.204375796,12.759589867,28.518916939,55.094662829,5.3743266104,8
3.026124,687459,277,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3.2743771953,3.7750217434,8.4800506831,4.0443463397,0,0,0,0,0,0,0,25.835093804,30.021792299,41.65418295,9.626436848,9.3211001204,13.134354154,22.781254069,44.803608006,3.3319556277,3
5.281383,906797,275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,2.8316592658,4.2355762025,8.0826916384,4.6831363339,-1,0,0,0,0,0,0,28.794491589,24.412777213,36.974444232,10.140456889,10.280171054,12.271955385,30.770127242,53.942528787,5.4783321428,6
-0.225058,1299051,1059,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2.9468669943,3.9348772482,8.0369905138,4.0536459547,0,0,0,0,0,0,0,25.00454783,33.88703479,32.107113426,11.810054952,10.517658071,15.497781808,21.978302566,54.009365708,0.2705608047,3
2.991748,910926,1043,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.7865222701,4.8589154852,7.6144374446,4.3089667654,0,0,0,0,0,0,0,28.846343907,25.027433285,32.901631807,12.608365425,12.443682479,17.023648456,32.277508146,64.571267488,2.6809824051,2
0.164239,906798,308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2.7803010607,4.4156995237,7.9009832967,4.3548478975,0,0,0,0,0,0,0,32.498683566,28.740197833,41.148131616,10.617941182,10.978082591,14.210374285,39.398043277,57.666129914,0.8165392425,6
3.062575,906798,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,2.7803010607,4.4156995237,7.9009832967,4.3548478975,0,0,0,0,0,0,0,32.498683566,28.740197833,41.148131616,10.617941182,10.978082591,14.210374285,39.398043277,57.666129914,2.1717540368,9
5.478039,687459,304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3.2743771953,3.7750217434,8.4800506831,4.0443463397,0,0,0,0,0,0,0,25.835093804,30.021792299,41.65418295,9.626436848,9.3211001204,13.134354154,22.781254069,44.803608006,4.9707612595,9
5.623814,753566,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9439656625,4.0198847878,8.1460334223,4.0387986941,0,0,0,0,0,0,0,26.966113588,24.73023665,32.04126568,10.127015834,11.143969647,12.04732133,29.240215623,54.588299152,5.3148478372,7
4.80966,907065,1061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3.2461249685,3.8911186725,8.3477110844,3.7299895375,0,0,0,0,0,0,0,16.22189344,28.74283811,45.346379474,9.9880113616,10.267322173,11.428442532,18.960726566,51.10585255,4.0380720455,1
-0.850618,753552,1010,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,-2.1,0.789683,3.0565287064,0.23,1,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,-0.748149969,5
2.823227,687455,203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,3.0446116004,4.0206514627,6.7362646701,4.6050594629,0,0,0,0,0,0,0,25.449699003,25.520813865,31.582771955,10.162596787,10.013641659,13.161818338,27.154899493,46.171866531,3.3600562333,4
5.63135,906797,230,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.8316592658,4.2355762025,8.0826916384,4.6831363339,0,0,0,0,0,0,0,28.794491589,24.412777213,36.974444232,10.140456889,10.280171054,12.271955385,30.770127242,53.942528787,5.0976297003,1
3.673189,909780,219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,2.9443712354,3.9864387426,7.9547375393,3.9195163718,0,0,0,0,0,0,0,26.156679011,25.940341307,34.138151781,10.592311019,11.204375796,12.759589867,28.518916939,55.094662829,1.4867523736,2
4.794501,724812,298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,3.137349653,3.7234969251,7.6373919779,4.3738987146,0,0,0,0,0,0,0,26.053038677,26.133959104,30.23839635,10.545732299,10.079360638,13.419896718,24.95656213,57.559323593,4.3053942704,8
0.227101,724812,312,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3.137349653,3.7234969251,7.6373919779,4.3738987146,0,0,0,0,0,0,0,26.053038677,26.133959104,30.23839635,10.545732299,10.079360638,13.419896718,24.95656213,57.559323593,0.2613738219,4
3.454669,753552,185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,0,0,0,0,0,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,3.2982479926,5
1.671839,753552,235,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2.9205399336,4.0715409921,7.6643320607,4.2072620405,0,0,0,0,0,0,0,21.91717692,24.345720562,37.821578934,10.587801434,10.823271034,14.189901935,28.860777744,54.469504275,2.4990054143,1
1.159551,687452,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2.8338432016,3.9756980829,7.0732834245,4.2475916729,0,0,0,0,0,0,0,35.802168784,23.03320733,31.993736741,11.360572408,11.601095133,16.038520736,26.108741768,60.54857718,-0.46408525,2
4.400415,753566,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2.9439656625,4.0198847878,8.1460334223,4.0387986941,0,0,0,0,0,0,0,26.966113588,24.73023665,32.04126568,10.127015834,11.143969647,12.04732133,29.240215623,54.588299152,5.1271961211,2
5.611554,907312,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.9035753428,4.0102803748,7.2593508322,4.2715280033,0,0,0,0,0,0,0,20.705490251,28.917611022,37.370714455,13.506439233,11.322134543,16.546435925,30.35546928,53.568983936,5.1725096485,6
3.437579,906797,1050,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2.8316592658,4.2355762025,8.0826916384,4.6831363339,0,0,0,0,0,0,0,28.794491589,24.412777213,36.974444232,10.140456889,10.280171054,12.271955385,30.770127242,53.942528787,2.3914068929,6
