IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,PWY_R_HSA_8848021_EXP,GO_0007257_CSV,GO_0014068_CSV,GO_0016477_CSV,GO_0045765_EXP,GO_2001240,SFAM_Alpha_Unclassified_EXP,EXP_FAM198B,EXP_MINK1,EXP_LIMK2,EXP_ANKK1,EXP_WNK4,EXP_ROCK1,PKA_146_EXP_X_Fingerprint_698,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_HSP90AA1,EXP_CDK4_X_EXP_MLH1,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_LARP7,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_TCEA1,EXP_LIMK2_X_EXP_ACACB,EXP_LIMK2_X_EXP_CDC42,EXP_MAP2K7_X_EXP_FAS,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_NUP107,EXP_NEK7_X_EXP_NUP160,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_ATF2,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_HSP90AA1,EXP_PRKCA_X_EXP_JAM2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_PPP1CC,EXP_TGFBR2_X_EXP_SMAD6,EXP_TGFBR2_X_EXP_XPO1,EXP_TGFBR2_X_EXP_ZFYVE16,EXP_TRIB3_X_EXP_TGS1,EXP_WNK4_X_EXP_KCNJ1,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0006897_EXP_X_GO_0030182_EXP,GO_0006897_EXP_X_GO_0070372_EXP,GO_0006897_X_GO_0045944,GO_0007030_EXP_X_GO_0048013_EXP,GO_0007030_X_GO_0070372,GO_0016242_X_GO_0035556,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,GO_0035556_EXP_X_GO_1901215_EXP,Predicted IC50,Validation
3.86756,753583,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,3.7220621905,3.1125135539,3.0367582321,3.7516922072,0,0,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,97.102560225,49.913989622,71.728083884,39.83070121,18.024507238,41.676381497,29.26440946,55.900549051,13.025366505,17.436706731,24.64880427,48.613799215,22.056738274,19.8688094,32.185594952,16.787269899,65.970508528,42.176850135,68.095660109,23.906460326,18.652806459,38.724609229,12.644784332,11.609628807,38.236682805,11.602740629,17.362683844,12.110389335,33.646271173,19.406312446,29.549021648,22.006728402,10.403117947,27.254606056,40.914951957,19.287822469,35.209477815,14.999937915,41.809389631,9.1987719952,0,0,0,0.6210291069,0,0,0,0,0,0,0,0,0,3.7712666601,4
3.436755,910911,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0.83012,0,0,0,0,0,4.1074828237,4.6572398587,5.6363050409,2.8899305258,3.0917080726,3.4677489705,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,72.496799062,33.107699251,54.445832226,35.974066928,32.008003165,46.283271653,35.123296175,55.818337194,18.674405076,25.0207621,22.100954853,46.95151388,24.294715756,19.569173242,35.973826948,16.040349189,53.444077548,38.491573673,50.370065316,23.921268956,17.322484793,41.39739196,12.631112807,11.999110326,37.347596604,11.487653709,19.033038921,11.980268214,12.904076155,20.614843731,35.418649003,23.867625919,13.084015962,25.861799319,46.873231014,17.657209717,37.244313203,16.827222751,37.713414398,9.6150908717,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6983812348,9
0.663368,753531,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0.810932,0,0,0,0,0,0,0,2.9163801208,4.8533018766,6.5878173851,3.1158381075,3.3189522862,3.2666646175,0,1.5,0,0,11.577534537,14.435698684,16.936155527,42.962897797,63.239136862,29.351678527,50.120188111,26.602782714,45.683885969,52.03572103,38.557038497,66.235155114,23.742365634,30.202049118,26.329040994,58.522392844,31.294135316,18.662285746,40.404778231,19.199061814,52.383145809,33.903325568,44.896821095,20.646585205,16.479593101,34.431552109,11.15261187,10.208367744,30.312626325,10.94049803,17.389469037,11.012348229,10.715392505,16.872249379,31.879972337,22.797128037,11.566027821,22.776731356,42.184269663,13.603287175,35.221874872,14.852419125,56.691408682,10.077656931,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4506159033,2
-1.231995,753532,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.816725,0,0,0,0,0,5.256379074,4.3082802517,4.2153783231,2.8341604698,3.1056330538,3.4992217645,0,0,0,0,14.163588346,15.061972595,19.358425244,55.554308106,78.643614835,38.879069542,53.475948071,31.407003799,16.984357457,41.410667597,27.165106239,47.709495646,14.906801747,19.469066899,20.628335503,46.417581132,26.169691651,19.528536393,27.52459728,16.992178761,54.742219658,37.127667835,62.972921842,24.664611511,20.387653726,43.900748532,15.814015553,14.434675879,47.093734893,15.1120956,21.966168382,15.537999436,15.850661482,23.052497848,28.375412662,21.652637247,38.147695164,42.056586698,78.813242219,34.047576844,59.337476423,27.642280847,33.920010527,9.7862293744,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.309794508,10
3.654214,753583,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,3.7220621905,3.1125135539,3.0367582321,3.7516922072,0,3.3,0,0,14.468722261,16.84875242,29.601568415,66.737478546,97.102560225,49.913989622,71.728083884,39.83070121,18.024507238,41.676381497,29.26440946,55.900549051,13.025366505,17.436706731,24.64880427,48.613799215,22.056738274,19.8688094,32.185594952,16.787269899,65.970508528,42.176850135,68.095660109,23.906460326,18.652806459,38.724609229,12.644784332,11.609628807,38.236682805,11.602740629,17.362683844,12.110389335,33.646271173,19.406312446,29.549021648,22.006728402,10.403117947,27.254606056,40.914951957,19.287822469,35.209477815,14.999937915,41.809389631,9.1987719952,0,0,0,0.6210291069,0,0,0,0,0,0,0,0,0,1.8537014049,2
1.873515,910911,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.83012,0,0,0,0,0,4.1074828237,4.6572398587,5.6363050409,2.8899305258,3.0917080726,3.4677489705,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,72.496799062,33.107699251,54.445832226,35.974066928,32.008003165,46.283271653,35.123296175,55.818337194,18.674405076,25.0207621,22.100954853,46.95151388,24.294715756,19.569173242,35.973826948,16.040349189,53.444077548,38.491573673,50.370065316,23.921268956,17.322484793,41.39739196,12.631112807,11.999110326,37.347596604,11.487653709,19.033038921,11.980268214,12.904076155,20.614843731,35.418649003,23.867625919,13.084015962,25.861799319,46.873231014,17.657209717,37.244313203,16.827222751,37.713414398,9.6150908717,0,0,0,0,0,0,0,0,0,0,0,0,0,2.282175736,7
1.06402,753531,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0.810932,0,0,0,0,0,0,0,2.9163801208,4.8533018766,6.5878173851,3.1158381075,3.3189522862,3.2666646175,0,0,1.5,0,11.577534537,14.435698684,16.936155527,42.962897797,63.239136862,29.351678527,50.120188111,26.602782714,45.683885969,52.03572103,38.557038497,66.235155114,23.742365634,30.202049118,26.329040994,58.522392844,31.294135316,18.662285746,40.404778231,19.199061814,52.383145809,33.903325568,44.896821095,20.646585205,16.479593101,34.431552109,11.15261187,10.208367744,30.312626325,10.94049803,17.389469037,11.012348229,10.715392505,16.872249379,31.879972337,22.797128037,11.566027821,22.776731356,42.184269663,13.603287175,35.221874872,14.852419125,56.691408682,10.077656931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9149950083,2
3.715114,753532,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0.816725,0,0,0,0,0,5.256379074,4.3082802517,4.2153783231,2.8341604698,3.1056330538,3.4992217645,0,0,0,0,14.163588346,15.061972595,19.358425244,55.554308106,78.643614835,38.879069542,53.475948071,31.407003799,16.984357457,41.410667597,27.165106239,47.709495646,14.906801747,19.469066899,20.628335503,46.417581132,26.169691651,19.528536393,27.52459728,16.992178761,54.742219658,37.127667835,62.972921842,24.664611511,20.387653726,43.900748532,15.814015553,14.434675879,47.093734893,15.1120956,21.966168382,15.537999436,15.850661482,23.052497848,28.375412662,21.652637247,38.147695164,42.056586698,78.813242219,34.047576844,59.337476423,27.642280847,33.920010527,9.7862293744,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4438468156,4
2.373391,753583,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,2.8017267948,4.4885037243,3.7220621905,3.1125135539,3.0367582321,3.7516922072,0,0,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,97.102560225,49.913989622,71.728083884,39.83070121,18.024507238,41.676381497,29.26440946,55.900549051,13.025366505,17.436706731,24.64880427,48.613799215,22.056738274,19.8688094,32.185594952,16.787269899,65.970508528,42.176850135,68.095660109,23.906460326,18.652806459,38.724609229,12.644784332,11.609628807,38.236682805,11.602740629,17.362683844,12.110389335,33.646271173,19.406312446,29.549021648,22.006728402,10.403117947,27.254606056,40.914951957,19.287822469,35.209477815,14.999937915,41.809389631,9.1987719952,0,0,0,0.6210291069,0,0,0,0,0,0,0,0,0,2.4193686372,6
2.377387,910911,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0.83012,0,0,0,0,0,4.1074828237,4.6572398587,5.6363050409,2.8899305258,3.0917080726,3.4677489705,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,72.496799062,33.107699251,54.445832226,35.974066928,32.008003165,46.283271653,35.123296175,55.818337194,18.674405076,25.0207621,22.100954853,46.95151388,24.294715756,19.569173242,35.973826948,16.040349189,53.444077548,38.491573673,50.370065316,23.921268956,17.322484793,41.39739196,12.631112807,11.999110326,37.347596604,11.487653709,19.033038921,11.980268214,12.904076155,20.614843731,35.418649003,23.867625919,13.084015962,25.861799319,46.873231014,17.657209717,37.244313203,16.827222751,37.713414398,9.6150908717,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6745670101,8
