IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_147_ENG,MUT_MAP3K19_CSV,MUT_MAST4_EXP,REC_R_HSA_141409,PWY_R_HSA_397014_EXP,GO_0061098,EXP_COQ8A,EXP_GRK2,EXP_BMP2K,EXP_TYRO3,EXP_STK25,EXP_STK39,EXP_EIF2AK2,EXP_MAP2K5,Predicted IC50,Validation
4.020555,753552,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,3.4817713495,7
3.486597,753552,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,3.5167834005,7
-2.524766,753552,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,-1.768952326,5
-1.25813,753552,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,-1.772252941,6
0.617766,753552,87,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,0.9038335621,2
4.161232,753552,91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,4.742718681,8
2.679029,753552,106,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,3.1142813929,1
4.028425,753552,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,3.0842759411,5
-2.368121,753552,119,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,-0.022769991,7
1.800659,687452,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1.861,0,0,0,10.355892998,0,3.9756980829,3.7195514453,4.7746715945,4.9310779605,6.7089456606,4.3801194075,7.0732834245,4.2475916729,2.8829319564,3
1.035886,687455,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4.0206514627,3.2938686123,4.5132754594,3.8399893723,5.7052507051,5.3690671337,6.7362646701,4.6050594629,1.2090822349,3
3.712518,687459,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3.2835465899,0,3.7750217434,3.3465710373,6.4845635998,4.1637910594,5.183466137,4.1099655884,8.4800506831,4.0443463397,4.1779422176,2
2.394422,724812,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3.7234969251,3.285518393,5.1040823828,3.876011784,6.160701284,4.9750514666,7.6373919779,4.3738987146,2.401052212,5
1.598465,724838,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10.67941358,3,4.2842057895,3.7038545474,4.5338299346,3.8545863516,5.5600843549,4.1375542049,7.1255378203,5.0341004575,0.9204987042,10
2.51159,753552,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,2.8444232471,3
4.59947,753566,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.747083,0,0,3.2344608557,0,4.0198847878,3.3616687068,5.1436910502,3.8326027348,5.8821995012,3.9135600487,8.1460334223,4.0387986941,3.6476946085,2
2.076044,906797,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3.2599113223,0,3.1207588814,0,4.2355762025,3.3827968837,5.1955338619,3.7757457396,5.6698727356,4.1665083287,8.0826916384,4.6831363339,2.7578841271,5
3.250349,906798,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,23.645485734,0,4.4156995237,3.7627265082,5.6835132259,4.4701725135,5.9424766061,5.1766119232,7.9009832967,4.3548478975,3.4828225934,3
3.423711,907065,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,-3.335,0.733222,5.5364391806,1,0,0,3.8911186725,3.3200461355,5.5784705731,3.4634271342,5.6435924699,3.1938071887,8.3477110844,3.7299895375,3.8682487596,6
3.640766,907312,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,9.9065974502,0,4.0102803748,3.8886373711,5.6966804957,3.7145435456,5.6928462745,3.9267963208,7.2593508322,4.2715280033,3.6174887144,7
3.480901,909704,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3.2417537109,0,4.6186327115,3.5331725284,3.556404129,3.9044155458,5.86109156,4.600857288,7.3507488739,4.2632938294,2.4791478903,3
3.961243,909780,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3.9864387426,3.5409404306,5.3382416798,4.0083087327,5.7770280457,4.4900887461,7.9547375393,3.9195163718,4.3026627779,9
2.431268,910926,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,16.473618263,1,4.8589154852,4.2638935598,4.3856903984,4.3576758094,6.2130827109,5.3181855834,7.6144374446,4.3089667654,2.8200918387,10
4.425423,1299051,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,6.6651897088,0,3.9348772482,3.900501211,4.9026373039,3.9975818697,5.8749849735,4.5877846112,8.0369905138,4.0536459547,3.7338993757,8
-1.0128,687452,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.861,0,0,0,10.355892998,0,3.9756980829,3.7195514453,4.7746715945,4.9310779605,6.7089456606,4.3801194075,7.0732834245,4.2475916729,-0.452724364,6
0.537506,687455,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.0206514627,3.2938686123,4.5132754594,3.8399893723,5.7052507051,5.3690671337,6.7362646701,4.6050594629,-0.507768775,1
-2.365253,687459,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2835465899,0,3.7750217434,3.3465710373,6.4845635998,4.1637910594,5.183466137,4.1099655884,8.4800506831,4.0443463397,-0.429754131,3
-0.29581,724812,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.7234969251,3.285518393,5.1040823828,3.876011784,6.160701284,4.9750514666,7.6373919779,4.3738987146,-0.522199252,9
-0.554472,724838,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,10.67941358,3,4.2842057895,3.7038545474,4.5338299346,3.8545863516,5.5600843549,4.1375542049,7.1255378203,5.0341004575,-1.156363784,1
-0.461365,753552,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,-0.493076451,8
0.468275,753566,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.747083,0,0,3.2344608557,0,4.0198847878,3.3616687068,5.1436910502,3.8326027348,5.8821995012,3.9135600487,8.1460334223,4.0387986941,0.0716876527,3
1.042198,906797,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3.2599113223,0,3.1207588814,0,4.2355762025,3.3827968837,5.1955338619,3.7757457396,5.6698727356,4.1665083287,8.0826916384,4.6831363339,-0.51699126,1
-0.512143,906798,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,23.645485734,0,4.4156995237,3.7627265082,5.6835132259,4.4701725135,5.9424766061,5.1766119232,7.9009832967,4.3548478975,-0.517190317,5
2.107059,907065,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-3.335,0.733222,5.5364391806,1,0,0,3.8911186725,3.3200461355,5.5784705731,3.4634271342,5.6435924699,3.1938071887,8.3477110844,3.7299895375,1.9018123545,10
1.879729,907312,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,9.9065974502,0,4.0102803748,3.8886373711,5.6966804957,3.7145435456,5.6928462745,3.9267963208,7.2593508322,4.2715280033,-0.518921686,4
-1.171959,909704,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2417537109,0,4.6186327115,3.5331725284,3.556404129,3.9044155458,5.86109156,4.600857288,7.3507488739,4.2632938294,-0.518211484,9
-0.570948,909780,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.9864387426,3.5409404306,5.3382416798,4.0083087327,5.7770280457,4.4900887461,7.9547375393,3.9195163718,-0.501857026,1
-1.210653,910926,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,16.473618263,1,4.8589154852,4.2638935598,4.3856903984,4.3576758094,6.2130827109,5.3181855834,7.6144374446,4.3089667654,-0.523514149,2
0.855912,1299051,153,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6.6651897088,0,3.9348772482,3.900501211,4.9026373039,3.9975818697,5.8749849735,4.5877846112,8.0369905138,4.0536459547,-0.519141056,6
0.363771,687452,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1.861,0,0,0,10.355892998,0,3.9756980829,3.7195514453,4.7746715945,4.9310779605,6.7089456606,4.3801194075,7.0732834245,4.2475916729,0.0016344864,2
-1.23604,687455,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4.0206514627,3.2938686123,4.5132754594,3.8399893723,5.7052507051,5.3690671337,6.7362646701,4.6050594629,1.1706742944,8
-0.422309,687459,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,3.2835465899,0,3.7750217434,3.3465710373,6.4845635998,4.1637910594,5.183466137,4.1099655884,8.4800506831,4.0443463397,-0.225424891,10
1.819239,724812,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3.7234969251,3.285518393,5.1040823828,3.876011784,6.160701284,4.9750514666,7.6373919779,4.3738987146,0.6728134273,9
1.691533,724838,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,10.67941358,3,4.2842057895,3.7038545474,4.5338299346,3.8545863516,5.5600843549,4.1375542049,7.1255378203,5.0341004575,1.1108740383,1
0.389301,753552,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4.0715409921,3.7213888162,4.7694202433,4.5709219205,5.8415857454,4.6743795136,7.6643320607,4.2072620405,0.1897882567,10
-0.308691,753566,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0.747083,0,0,3.2344608557,0,4.0198847878,3.3616687068,5.1436910502,3.8326027348,5.8821995012,3.9135600487,8.1460334223,4.0387986941,-0.960823182,3
-0.310437,906797,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,3.2599113223,0,3.1207588814,0,4.2355762025,3.3827968837,5.1955338619,3.7757457396,5.6698727356,4.1665083287,8.0826916384,4.6831363339,-0.078641449,7
